log_dir: checkpoints/2019-10-30_23:22:38, val_loss: 25.701, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', learning_rate=0.1, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:23:16, val_loss: 17.746, hparams: HyperParameters(batch_size=64, num_layers=5, dense_units=256, activation='tanh', learning_rate=0.05, num_like_pages=10000, use_dropout=False, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:24:18, val_loss: 341.748, hparams: HyperParameters(batch_size=32, num_layers=6, dense_units=256, activation='linear', learning_rate=0.1, num_like_pages=10000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:25:31, val_loss: 8.436, hparams: HyperParameters(batch_size=64, num_layers=1, dense_units=256, activation='relu', learning_rate=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:26:13, val_loss: 11.285, hparams: HyperParameters(batch_size=32, num_layers=8, dense_units=256, activation='relu', learning_rate=0.005, num_like_pages=10000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:27:30, val_loss: 209.983, hparams: HyperParameters(batch_size=32, num_layers=5, dense_units=256, activation='linear', learning_rate=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:28:46, val_loss: 21.237, hparams: HyperParameters(batch_size=128, num_layers=2, dense_units=256, activation='tanh', learning_rate=0.05, num_like_pages=10000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:29:44, val_loss: 85.241, hparams: HyperParameters(batch_size=64, num_layers=4, dense_units=256, activation='relu', learning_rate=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:30:29, val_loss: 6.894, hparams: HyperParameters(batch_size=256, num_layers=5, dense_units=256, activation='tanh', learning_rate=0.005, num_like_pages=1000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:30:53, val_loss: 42407554.500, hparams: HyperParameters(batch_size=256, num_layers=6, dense_units=256, activation='relu', learning_rate=0.005, num_like_pages=10000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:31:53, val_loss: 117.120, hparams: HyperParameters(batch_size=64, num_layers=5, dense_units=256, activation='relu', learning_rate=0.05, num_like_pages=5000, use_dropout=False, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:32:40, val_loss: 8.192, hparams: HyperParameters(batch_size=256, num_layers=2, dense_units=256, activation='tanh', learning_rate=0.01, num_like_pages=10000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:33:36, val_loss: 6.883, hparams: HyperParameters(batch_size=128, num_layers=7, dense_units=256, activation='tanh', learning_rate=0.005, num_like_pages=10000, use_dropout=True, dropout_rate=0.1, use_batchnorm=False, num_text_features=91, num_image_features=63)
log_dir: checkpoints/2019-10-30_23:34:36, val_loss: 11.058, hparams: HyperParameters(batch_size=32, num_layers=3, dense_units=256, activation='linear', learning_rate=0.005, num_like_pages=5000, use_dropout=True, dropout_rate=0.1, use_batchnorm=True, num_text_features=91, num_image_features=63)
